token,project,flaky,prediction
getName method toBytes isEmpty testGet_Empty tableName initHRegion Bytes r fam addFamily assertTrue get row emptytable region ,hadoop,0,1
formatDate assertNotCached Cache-Control: no-store Expires:  Last-Modified:  cacheControlNoStoreAndExpirationDateInTheFuture addHeader TimeUnit ,okhttp,1,0
createColumn setSuperName getName value2 value1 columns createSuperColumn insert asList sc se createSuperColumnQuery assertNotNull get value subDelete setKey cf createMutator c ko unchecked assertEquals m execute c2 Super1 q getValue r getSize assertNull testSuperInsertGetRemove name setColumnFamily name2 Arrays name1 ,hector,1,0
result size getTime findJobStatusTraceEvents now tenMinutesBefore getTotal is getRows repository assertThat assertFindJobStatusTraceEventsWithTime ,elasticjob,1,0
getHttpConnectionCount connectionCleanup spdyA pool httpA httpB assertEquals Util httpAddress getConnectionCount Thread sleep assertNull spdyAddress assertNotNull getSpdyConnectionCount get recycle KEEP_ALIVE_DURATION_MS share closeQuietly ,okhttp,0,1
testScanYYXToEmpty yyx zzz testScan ,hadoop,1,0
connectionCount spdyA pool evictAllConnections httpA Util httpB assertEquals getConnectionCount evictAll assertTrue recycle KEEP_ALIVE_DURATION_MS share closeQuietly ,okhttp,0,1
Keyspace1 key1 ret key2 c value2 value1 key3 localhost:9170 assertEquals testMultiInsertGetDelete keyValues delete put getOrCreateCluster createKeyspace dao assertNull assertNotNull get getMulti MyCluster insertMulti StringSerializer ,hector,1,0
makeEvent doEvaluateAndCheck e.message == 'x' event getLoggerContextVO ,logback,0,1
play server request User-Agent assertCode assertBody Content-Type: text/plain assertTrue assertContainsHeaders get await client AsyncApiTest addHeader abc receiver getHeaders takeRequest User-Agent: AsyncApiTest setBody url / enqueue getUrl contains build header ,okhttp,0,1
assertJobs receiver oldJobFinishesNewJobCantRunDueToHostLimit newRequest http://a/1 enqueue http://b/1 http://a/2 finishJob executor setMaxRequestsPerHost client dispatcher ,okhttp,0,1
makeEvent doEvaluateAndCheck event nullMDC e.mdc?.get('key') == 'val' ,logback,0,1
testSimpleHttpGets GET requestExecutionHandler testjob getPattern executeStandardTest getCount generateRequest ,httpcore,1,0
EnvironmentTestUtils myid .id:myid addEnvironment equalTo refresh getId idOverride assertThat getEndpointBean register ,spring-boot,0,1
killedProcess handler destroyProcess cl execute Thread foreverTestScript Integer sleep watchdog assertTrue testExecuteAsyncWithTimelyUserTermination exec setWatchdog ,commons-exec,0,1
isNotNull BEAN_VALIDATION_ENABLE initValidator isSameAs should_get_provided_custom_validator validator extractor params assertThat customValidator put BEAN_VALIDATION_VALIDATOR ,achilles,0,1
"cluster foundH2DN Cluster Dump:  statusRequest getCluster getStatus put b1 iterator Assert assertNotNull sch foo1 addDesiredConfig core-site s1 taskStatus , stageId= Task dump : getServiceComponents getHostName LOG HostRoleStatus jaxbToString getAllStages c1 getExecutionCommand c2 c3 getStageId fail size getType , actionId= foundH1CLT t1 t2 taskRequests , commandDetails= getActionId trackAction getExecutionCommands setTaskId foo-site requests d1 sb sc getRequestStatus updateServices assertTrue clusterName getHostLevelParams get persist a b controller c d getCommand getRole assertEquals getService StageUtils r stage equals RoleCommand isClientComponent toString v1 actionDB getServiceComponentHosts statusResponse getName getServiceComponentName Stage Details for Start Service ecw host foundH1NN getRequestId getHosts info hdfs-site add HDFS_CLIENT getDesiredState Stage Details for Install Service testInstallAndStartService Role State repo_info next debugDump configs foundH1DN Dumping host action details values assertFalse getTaskStatus setVersionTag h1 h2 testCreateServiceComponentHostSimple statusResponses setRequestId Found invalid host in task list injector clusters debug foundH2CLT Stage Details for Stop Service :  HDFS isEmpty clear counter serviceName updateDesiredConfigs a1 Found invalid role for host h1 getState getTasks taskStatuses taskResponses stages setState Found invalid role for host h2 properties ",ambari,1,0
handler server Exchangers header://localhost:55555?transporter=netty3 valueOf Constants testClientHeartbeat URL System addParameter Server bind successfully Thread sleep bind Assert FakeChannelHandlers resetChannelHandlers assertTrue connect count  serverURL setTestingChannelHandlers client connect ,dubbo,1,0
testStop basicFilterTests substrFilter regexFilter basicFilter regexFilterTests substrFilterTests ,hadoop,0,1
onlyJettyIsPackackedInWebInfLibProvided jetty checkWebInfEntriesForServletContainer JETTY_EXPECTED_IN_WEB_INF_LIB_PROVIDED ,spring-boot,1,0
output test OK (1 test) containsString assertThat integration_auto.groovy integrationAutoConfigEmbeddedTest ,spring-boot,1,0
columns expected testInfiniteLoop asList Bytes MatchCode addAll scanner col4 col5 col2 Arrays col3 runTest col1 ,hadoop,0,1
tasksM asymmetricalNodeTest createStage tasksA stream 100_ join 300_ setP getReference map setM assertNotEquals add Collectors getNodeId 100_000 setA assertEquals toSet 400_ size stage2 200_ tasksP collect stage1 ,orbit,0,1
pathAddress maximum-timeout testRejectTransformersEAP700 addFailedAttribute PathAddress ModelTestControllerVersion MODEL_VERSION_EAP70 testRejectTransformers7 TransactionExtension ,wildfly,1,0
result container --classpath=.:src/test/resources Hello World contains /css/bootstrap.min.css assertTrue ui.groovy Wrong output:  run uiSample getHttpOutput ,spring-boot,1,0
user1 singleton next controller resp assertEquals getUsername r iterator Assert size getUsers createUser testCreateAndGetUsers Collections ,ambari,1,0
add processEngineConfiguration getTime Calendar waitForJobExecutorToProcessAllJobs tomorrow testTimerFiredForIntermediateTimer runtimeService ActivitiEventType startProcessInstanceByKey setCurrentTime getInstance getClock checkEventCount ,activiti,1,0
fsm handler hi setIPv6 setOS setHardwareProfile setHostname getOsType setIPv4 centos5 hostname testRegistration ipv4 handleRegistration reg assertTrue ipv6 injector clusters getHost getLastRegistrationTime HostState host1 hostObject getLastHeartbeatTime assertEquals am addHost setHostName getState ,ambari,0,1
cannotBuildCacheKeyFromNullRequest create victim ,wroj4,0,1
"output contains integration.groovy Hello, World assertTrue Wrong output:  integrationSample run ",spring-boot,1,0
col string toBytesMap addToColumn_names toByteBuffer slicePredicate put cosc se setPredicate testBatchMutate mutations setColumn deletion assertNotNull get getColumn StringSerializer testBatchMutateColumn_value_ value add testBatchMutateColumn_ mutationMap clear outerMutationMap setColumn_or_supercolumn j assertEquals batchMutate Standard1 cp mutation keyspace getValue fail createClock bytes connectionManager setDeletion ,hector,1,0
r2 r3 r4 testServiceComponentHostUpdateRecursive r5 Expected failure for invalid transition getCluster centos5 Expected failure for invalid states Assert assertNotNull foo1 getHost s1 getRequestId add reqs HDFS_CLIENT LOG sch5 sch4 sch1 getAllStages c1 sch3 serviceName1 sch2 fail createService createHostComponents State set1 createCluster componentName1 componentName3 componentName2 trackAction assertFalse h1 h2 createServiceComponent mapHostToCluster updateHostComponents requestId clusterName persist clusters getServiceComponent sc1 req3 Stage dump:  req2 controller sc3 req5 sc2 req4 debug host1 req1 host2 HDFS setDesiredState clear isEmpty NAMENODE addHost getService setOsType assertNull stage DATANODE stages setState toString actionDB r1 getServiceComponentHost ,ambari,1,0
exitValue cl FOO. assertEquals env execute baos put . trim testScript reset TEST_ENV_VAR toString testExecuteStability exec ,commons-exec,0,1
 actual ClassSize CachedBlock expected toBytes unchecked cl Store heapSize assertEquals kv put LruBlockCache estimateBase Bytes HRegion MemStore testSizes ,hadoop,0,1
sleep spdyAddress get assertPooled pool recycle KEEP_ALIVE_DURATION_MS httpA expiredConnectionsAreEvicted httpB Thread ,okhttp,0,1
getName string insert gotlist toByteBuffer remove setColumn assertNotNull get Collections StringSerializer sp cols sr testGetSlice_Value_ add clp assertEquals sort Standard2 cp ByteBuffer keyspace setSlice_range testGetSlice_ size bytes testGetSlice getSlice columnnames wrap ,hector,1,0
output Hello World contains httpSample assertTrue http.groovy Wrong output:  run ,spring-boot,1,0
setFoldOutBed getClass setExtendable couch f1 f2 f3 f4 setMaterial setArms setNumCushions pressBoard testFurniture find setId wood persist formica table chair setNumDrawers black assertEquals brown entityMgr setShape setRecliner setColor blue desk rectangle circle ,hector,0,1
next  multigetCount keys counts insert testMultigetCount_key_ toByteBuffer slicePredicate iterator setColumn get StringSerializer sr add entrySet clp testMultigetCount j assertEquals Standard1 cp ByteBuffer keyspace setSlice_range getValue size testMultigetCount_value_ wrap testMultigetCount_column_ ,hector,1,0
testResponseRedirectedWithPost HttpURLConnection response302MovedTemporarilyWithPost ,okhttp,1,0
getClientFileInfo ls fileInfo assertEquals TableTest / getFileId journal Assert size stop assertTrue get log.data MasterConf image.data /xyz info ,alluxio,1,0
foo=bar World! run assertEquals getHttpOutput output result contains assertTrue completed with the following parameters Wrong output:  web.groovy job.groovy jobWebSample ,spring-boot,1,0
play hostHeader server request hostName assertContent getResponseMessage get client Sweet :scheme: https connection /foo getHeaders takeRequest :  assertEquals HTTP/1.1 200 Sweet setBody setStatus assertContains Integer ABCDE enqueue getUrl getRequestLine GET /foo HTTP/1.1 getPort response getResponseCode : open ,okhttp,0,1
G_SCAN1_FILE_AS_STR assertThatListContainsFile matchCount assertEquals gafferInstallFilter checker loggerContext assertThatFirstFilterIsROCF file gConfigure getConfigurationFileList Will scan for changes in fileList rocfDetachReconfigurationToNewThreadAndAwaitTermination ,logback,1,0
r getName assertNull f getFirstKey ROOT_DIR w loadFileInfo close fs getLastKey testEmptyHFile ,hadoop,0,1
setName createColumn key0 addDeletion columnResult se addInsertion get value key setKey cf createMutator assertEquals Standard1 m execute createColumnQuery testRowDeletion keyspace getValue initialTime assertNull createClock name setColumnFamily value0 ,hector,1,0
verifierAccepts request getConnection trustAllHosts https://localhost getHostnameVerifier assertTrue assertNotNull get verify connection ,http-request,1,0
createColumn keys result se setColumnNames addInsertion get toArray mcq value key add cf createMutator testMultigetCount assertEquals k Standard1 m execute keyspace size name setColumnFamily setKeys ,hector,1,0
decorate cannotDecorateNullObject DefaultSynchronizedCacheStrategyDecorator ,wroj4,0,1
play recoverFromTlsHandshakeFailure server request abc setSslSocketFactory receiver setSocketPolicy sslContext setBody url / getSocketFactory enqueue getUrl assertBody build useHttps await client SocketPolicy setHostnameVerifier ,okhttp,0,1
a c d e reader toBytes g h blockContainingKey assertEquals j k l fs System p Bytes loadFileInfo toString makeNewFile testBlockContainingKey ,hadoop,0,1
Hello World containsString run assertThat caching caching.groovy getOutput ,spring-boot,1,0
sameInstance not SpringApplication nonXaJmsConnectionFactory context jmsConnectionFactory run xaJmsConnectionFactory getBean assertThat testExposesXaAndNonXa instanceOf ,spring-boot,1,0
mSizeBytes copyFromLocal fos getFile mLocalTachyonCluster TestUtils Assert tFile copyFromLocalLargeTest assertTrue assertNotNull toWrite write close mFsShell read getAbsolutePath mTfs getInStream getTachyonHome length assertEquals tfis equalIncreasingByteArray getIncreasingByteArray testFile /testFile mOutput ReadType toString createNewFile getCommandOutput ,alluxio,1,0
result Hello to the blog example! getServerAddress contains assertTrue ninjaTestBrowser My second post makeRequest testThatHomepageWorks / ,ninja,1,0
TABLE Bytes createTable getConfiguration testGetConfiguration FAMILIES toBytes foo conf TEST_UTIL assertSame table ,hadoop,0,1
getExtensionLoader cluster isAvailable select selectedInvokers invoker1 clearInvocations invoker5 invoker4 invokers invoker3 invoker2 Math random min Assert assertTrue sinvoker initlistsize5 add lbname getExtension d max intValue clear testSelect_multiInvokers assertEquals invocation Mockito lb runs ExtensionLoader ,dubbo,1,0
cancel assertJobs tag1 receiver setMaxRequests newRequest http://a/1 enqueue http://a/2 finishJob executor client dispatcher cancelingRunningJobTakesNoEffectUntilJobFinishes ,okhttp,0,1
bba testScanEmptyToBBA baz testScan ,hadoop,1,0
forTasks BOOT_VERSION -PbootVersion= assertFalse createProject --stacktrace withArguments run newBuild build target/nojar/build/libs nojar exists ,spring-boot,1,0
assertJobs http://a/1 enqueue http://b/1 receiver finishJob executor oldJobFinishesNewJobCanRunDifferentHost client setMaxRequests dispatcher newRequest ,okhttp,0,1
add res row1 getName method value1 toBytes val1 assertEquals put tableName initHRegion fam1 lockId testCheckAndPut_WithCorrectValue Bytes testtable qualifier region qf1 checkAndPut ,hadoop,0,1
testBindingAttachment attachValue cluster getAttachment attachments doInvoke attachKey invoke RpcContext getAttachments invocation Assert size assertTrue binding attachment failed! equals setAttachment attach value getContext set attachment failed! dic ,dubbo,1,0
row11 KeyValue getBuffer KeyValueTestUtil deleteCompare DeleteCompare delete Bytes deleteTimestampOffset fam deleteQualifierLen mem get getQualifierLength create col1 deleteRowLen add actual testDeleteCompare_Delete expected getRowLength deleteType assertEquals dont-care memstore getQualifierOffset DeleteCode deleteBuffer size deleteQualifierOffset d-c getRowOffset deleteRowOffset ,hadoop,0,1
bba bbb testScanEmptyToBBB testScan ,hadoop,1,0
handler request POST us er getMethod put number post assertTrue get ok getParameter set method inputParams handle assertEquals HTTP_OK setStatus url 100 response outputParams name postWithEscapedMappedQueryParams ,http-request,1,0
 cf birthyear assertEquals execute setStartKey result keyspace birthmonth se setColumnNames addGteExpression size addEqualsExpression getList get le setColumnFamily testMultiClause addLteExpression ,hector,0,1
/testFile getFileId Assert deleteFileTest assertTrue Constants assertEquals mMasterInfo delete createFile fileId ,alluxio,1,0
play server enqueue /foo getUrl read client connection assertEquals emptyResponse getInputStream open ,okhttp,0,1
' caused IllegalArgumentException:  testTableNames .bad ' as an illegal user table name Legal user table name: ' e toBytes HConstants getMessage -bad g-oo.d legalName Bytes Did not detect ' toString illegalNames ,hadoop,0,1
 reports getActionId setTaskId HBASE_MASTER setHostRoleStatus processTaskResponse hostname COMPLETED Assert requestId get populateActionDB setStdErr stageId add testActionResponse host1 HostRoleStatus setActionId setExitCode assertEquals getAction hostRoleScheduled am getAllStages getExitCode setStatus cr getHostRoleStatus getStageId StageUtils stage setRole setStdOut db ,ambari,0,1
renameFileTest1 /root/testFile1 mTfs assertFalse assertEquals k createFile exist getFileId Assert assertTrue rename /root/testFile fileId ,alluxio,1,0
play server request assertContent assertArrayEquals getHeader client connection Content-Length write setFixedLengthStreamingModeSetsContentLength /foo takeRequest getBody postBytes POST /foo HTTP/1.1 assertEquals setBody Integer parseInt ABCDE enqueue getUrl getRequestLine response setFixedLengthStreamingMode getOutputStream open setDoOutput ,okhttp,0,1
/testFolder deleteEmptyDirectoryTest getFileId Assert assertTrue assertEquals mMasterInfo mkdir delete ,alluxio,1,0
cluster handler hi reports setReports setHardwareProfile setHostname setNodeStatus none getCluster mapHostsToCluster centos5 cluster1 hostname handleRegistration reg setResponseId componentState1 Host state should still be installing getHost add serviceComponentHost1 Status addCluster serviceComponentHost2 setActionId setExitCode am Role aq setComponentStatus State setRole setStdOut name addServiceComponent CentOS componentName1 HDP-0.1 componentName2 5.8 setDesiredStackVersion setOS getActionId hostNames setOSRelease setTaskId testTaskInProgressHandling setClusterName System addService requestId setServiceName clusterName persist injector clusters setTimestamp setStdErr getServiceComponent stageId dummy output host1 handleHeartBeat HDFS assertEquals NAMENODE addServiceComponentHost serviceName addHost getService setStatus cr setHostName StageUtils IN_PROGRESS setOsType I am ok getState serial currentTimeMillis DATANODE hdfs setState hb getServiceComponentHost ,ambari,0,1
getNumIdle clientPool testShutdown assertEquals getNumBlockedThreads getNumActive shutdown ,hector,0,1
ls j assertEquals createFile /i0/j0 / Assert size /i /j mMasterInfo mkdir lsTest ,alluxio,1,0
test307Redirect response307WithOptions OPTIONS ,okhttp,1,0
"output contains ex serverNotRunning SampleElasticsearchApplication assertTrue testDefaultSettings Wrong output:  firstName='Alice', lastName='Smith' main toString ",spring-boot,1,0
r2 r3 getName INSTALLED getCluster HBASE asList iterator Assert testGetServicesWithFilters Collections s1 s2 s3 reqs addCluster s4 s5 getClusterName MAPREDUCE ZOOKEEPER c1 createNew c2 fail INIT size State Expected failure for invalid service Arrays HDP-0.2 setDesiredStackVersion next getServiceName Expected failure for invalid request HIVE addService persist getServices clusters singleton controller resp HDFS setDesiredState assertEquals r addAll serviceFactory r1 ,ambari,1,0
cancel assertJobs tag1 receiver newRequest http://a/1 enqueue http://a/2 finishJob executor setMaxRequestsPerHost client cancelingReadyJobPreventsItFromStarting dispatcher ,okhttp,0,1
schema getResourceDefinition put testAddProperty__localSubCategory property2 property4 property3 setInnerProps assertTrue get property verify Collections add singleton resourceDefinition resource setProps query getProperties Resource mapProperties category/nestedCategory assertEquals getCategoryProperties replay nestedCategory property5 addProperty m_controller getSchema anyTimes expect contains createNiceMock mapSchemaProps size getType setResultProps andReturn category ,ambari,0,1
openCloseTest cleanConnect user_createFile assertFalse isConnected Constants masterClient /file getMasterAddress Assert assertTrue mMasterInfo connect user_getFileId ,alluxio,1,0
addHeader contains getHeaders assertTrue etag If-None-Match: v1 assertConditionallyCached conditionalRequest ETag: v1 ,okhttp,1,0
createTable testEmptyHHTableDescriptor ,hadoop,0,1
setEventListener Test client status requestExecutionHandler serverAddress reqNo Test server status getStatus getListenerEndpoint entityRequest requestHandler Assert assertNotNull getCount waitFor serviceHandler add localhost getException HttpStatus openConnection clientHandler setHandlerResolver handle connRequests fail getRequestLine connNo GET getUri getParams request testHttpException remove endpoint IOReactorStatus isSuccessful serverHttpProc getAddress testjob jobs start sessionRequest isEmpty assertEquals getFailureMessage generateRequest getPort clientHttpProc getStatusCode getResult getPattern getSession queue ,httpcore,1,0
b shiftLeft set shiftLeftAcrossOffset_VariableCapacity assertEquals toIntegerList asList ,okhttp,0,1
formatDate Date:  addHeader Cache-Control: max-age=60 assertFullyCached TimeUnit maxAgeInTheFutureWithDateHeader ,okhttp,1,0
mockRequest assertNull create victim shouldCreateNullCacheKeyWhenRequestDoesNotContainEnoughInfo ,wroj4,0,1
 testPerm getName take: getProxy valueOf getInvoker ?codec=exchange start URL System dubbo://127.0.0.1:9050/ proxy protocol getSize refer service currentTimeMillis export ,dubbo,1,0
HConsistencyLevel get testReadWriteSame assertEquals OperationType configurableConsistencyLevel MyColumnFamily ,hector,0,1
play server readAscii ABC read in readAfterLastByte assertEquals setBody getInputStream / enqueue getUrl client connection open ,okhttp,0,1
process Assert shouldProcessValidSass engine #element { #child {color: red;}} #element #child {   color: red; }  assertEquals ,wroj4,1,0
testSkipFilter testQualifierOne-2 f ROWS_TWO toBytes kvs setFilter Bytes QUALIFIERS_TWO verifyScanFull FAMILIES VALUES CompareOp ,hadoop,0,1
play server request addHeader receiver Location: /b assertCode setResponseCode setBody redirectWithRedirectsDisabled url enqueue getUrl assertBody /a Test build assertContainsHeaders /a has moved! await client setFollowProtocolRedirects Redirect from /a to /b ,okhttp,0,1
add filterMPALL MAX_PAGES in toBytes newFilter FilterList filters testSerialization out readFields Bytes stream toByteArray yyy buffer write close ,hadoop,0,1
play closeAfterFlush server request assertContent String assertArrayEquals getHeader flush setRequestProperty client connection Content-Length write close /foo takeRequest getBody valueOf postBytes POST /foo HTTP/1.1 assertEquals setBody Integer parseInt ABCDE enqueue getUrl getRequestLine response getOutputStream open setDoOutput ,okhttp,0,1
process invalidCss Assert engine StringUtils assertEquals cannotProcessInvalidCss ,wroj4,1,0
cluster handler hi setHardwareProfile hm setHostname setNodeStatus centos6 getCluster mapHostsToCluster containsDATANODEStatus SECONDARY_NAMENODE handleRegistration reg setResponseId getHost add addCluster am Role aq generateStatusCommands size name mock addServiceComponent cmd HDP-0.1 setDesiredStackVersion setOS hostNames HeartbeatMonitor should not generate StatusCommands for host2 because it has no services getServiceName containsNAMENODEStatus System testStateCommandsGeneration hostname1 hostname2 addService assertTrue Centos5 clusterName cmds HeartbeatMonitor should generate StatusCommands for host1 get HostStatus persist injector clusters setTimestamp getServiceComponent getComponentName handleHeartBeat cool HDFS isEmpty assertEquals addServiceComponentHost NAMENODE serviceName addHost containsSECONDARY_NAMENODEStatus setOsType currentTimeMillis equals DATANODE hdfs heartbeatMonitorWakeupIntervalMS hb getInstance ,ambari,0,1
add createColumn createMutator createSuperColumn columnList insert getHostUsed m superColumn Execute time should be > 0 Should have operated on a host keyspace Super1 se r testInsertSuper getExecutionTimeMicro assertTrue name sk super_name value ,hector,0,1
output Hello World! contains beans.groovy beansSample assertTrue Wrong output:  run getHttpOutput ,spring-boot,1,0
encode ISO-8859-1 data BarcodeFormat expectedMatrix UTF-8 aztec assertEquals testWriter matrix ISO-8859-15 getBytes LATIN_1 testAztecWriter getMatrix â‚¬ 1 sample data. Encoder In ut magna vel mauris malesuada writer ,zxing,1,0
setProtocols fail client setProtocolsWithoutHttp11 Protocol Arrays asList ,okhttp,1,0
result telnet change getDubboProtocol mockChannel DemoService Used the DemoService as default. You can cancel default service by command: cd / assertEquals mockInvoker testChangeSimpleName export DubboProtocol ,dubbo,1,0
getStats release when sleep Assert updateExpiry closeIdle stats assertNotNull get create TimeUnit verify testCloseIdle close entry2 getLeased conn2 entry1 conn1 thenReturn somehost pool assertEquals connFactory totals eq Thread never future1 future2 Mockito mock lease getTotalStats getAvailable ,httpcore,1,0
setDesiredStackVersion r2 r3 hostAttrs val2 val1 h1 h2 h3 getCluster put centos5 Assert get testCreateHostMultiple persist getClustersForHost clusters getHost add addCluster createHosts controller assertEquals attr2 addHost attr1 c1 c2 setOsType clusterNames size set1 getHostAttributes HDP-0.1 r1 ,ambari,1,0
next foo toBytes values The WhileMatchFilter should now filter all remaining testWhileMatchFilterWithFilterKeyValue setFilter filter Bytes Assert QUALIFIERS_ONE filterAllRemaining assertTrue FAMILIES isMoreResults scanner CompareOp getScanner ,hadoop,0,1
server request toURI assertEquals setResponseCode execute / enqueue getUrl getStatusCode response sessionExpired client getStatusLine ,okhttp,0,1
 org.apache.dubbo.rpc.protocol.dubbo.support.DemoService mockChannel invoke mockInvoker URL result getAttribute telnet ok export getInterface given valueOf unchecked willReturn assertEquals list any DubboProtocol getUrl testList telnet.service mock getDubboProtocol dubbo://127.0.0.1:20885/demo ,dubbo,1,0
/testFile mFsShell Assert assertEquals rm rmNotExistingFileTest ,alluxio,1,0
fam1 deleteColumns testDeleteColumns_PostInsert row delete qual1 doTestDelete_AndPostInsert ,hadoop,0,1
